group,control_id,context_id
language_specific_zh,language_specific_zh_006883,1187315
language_specific_zh,language_specific_zh_006553,10019601
language_specific_zh,language_specific_zh_004173,406730
language_specific_zh,language_specific_zh_004339,810150
language_specific_zh,language_specific_zh_003717,805730
language_specific_zh,language_specific_zh_000022,4835844
language_specific_zh,language_specific_zh_000933,502901
language_specific_zh,language_specific_zh_002239,8878027
language_specific_zh,language_specific_zh_003743,503023
language_specific_zh,language_specific_zh_001368,8739388
language_specific_zh,language_specific_zh_005420,2394348
language_specific_zh,language_specific_zh_005183,10457804
language_specific_zh,language_specific_zh_006152,4267317
language_specific_zh,language_specific_zh_000147,13953757
language_specific_zh,language_specific_zh_005067,4915629
language_specific_zh,language_specific_zh_006458,10635235
language_specific_zh,language_specific_zh_005070,8744746
language_specific_zh,language_specific_zh_007735,8646195
language_specific_zh,language_specific_zh_006957,13824376
language_specific_zh,language_specific_zh_002882,1325219
language_specific_zh,language_specific_zh_006125,414407
language_specific_zh,language_specific_zh_005668,5091613
language_specific_zh,language_specific_zh_000339,407294
language_specific_ja,language_specific_ja_000052,225285
language_specific_ja,language_specific_ja_006176,94971
language_specific_ja,language_specific_ja_004377,124837
language_specific_ja,language_specific_ja_002645,11021660
language_specific_ja,language_specific_ja_001565,143450
language_specific_ja,language_specific_ja_005893,84970
language_specific_ja,language_specific_ja_000893,5164
language_specific_ja,language_specific_ja_006917,596285
language_specific_ja,language_specific_ja_002917,1619676
language_specific_ja,language_specific_ja_006865,220549
language_specific_ja,language_specific_ja_005157,11013886
language_specific_ja,language_specific_ja_003342,80172
language_specific_ja,language_specific_ja_005454,121675
language_specific_ja,language_specific_ja_000167,11005036
language_specific_ja,language_specific_ja_001487,11327637
language_specific_ja,language_specific_ja_003411,109551
language_specific_ja,language_specific_ja_006376,126017
language_specific_ja,language_specific_ja_003549,140240
language_specific_ja,language_specific_ja_005653,219826
language_specific_ja,language_specific_ja_001392,183529
language_specific_ja,language_specific_ja_006933,233459
language_specific_ja,language_specific_ja_000423,184227
language_specific_ja,language_specific_ja_007650,402577
language_specific_ja,language_specific_ja_007224,2406954
