group,false_id,control_id,distance,max_standardized_gap
true_friend,zh_ja_002,true_003429,0.015767018607003087,0.08930349567013351
true_friend,zh_ja_006,true_004829,0.4095345346563315,0.5376592077068145
true_friend,zh_ja_008,true_006178,0.253252847448303,0.39548690939630715
true_friend,zh_ja_009,true_004808,0.2201584896948141,0.39234590832659433
true_friend,zh_ja_011,true_005370,0.3026182507396024,0.40687723826461686
true_friend,zh_ja_015,true_004867,0.6402307680041494,0.6205440877451531
true_friend,zh_ja_020,true_005181,0.08053648307416451,0.23250127900835238
true_friend,zh_ja_021,true_002250,0.045181364627913646,0.1743759592562646
true_friend,zh_ja_023,true_002518,0.0,0.0
true_friend,zh_ja_024,true_001941,0.0,0.0
true_friend,zh_ja_027,true_002058,0.10674756139764825,0.2615639388843958
true_friend,zh_ja_029,true_004946,0.03229307275383726,0.14531329938022086
true_friend,zh_ja_049,true_003775,0.06873884243947045,0.19136463357885836
true_friend,zh_ja_054,true_003216,0.7833691094597555,0.6619136935948307
translation_control,zh_ja_002,translation_005656,0.03294556299778477,0.15660883925795765
translation_control,zh_ja_008,translation_015297,0.006295317497565769,0.06680373744546309
translation_control,zh_ja_011,translation_013284,0.34927878634112025,0.49830085218441145
translation_control,zh_ja_020,translation_022039,0.03826373334838978,0.15660883925795765
translation_control,zh_ja_021,translation_011389,0.1926504107702926,0.3132176785159153
translation_control,zh_ja_023,translation_000435,0.06935718984598746,0.18705046484729593
translation_control,zh_ja_024,translation_002968,0.3951401355921986,0.4943476570964238
translation_control,zh_ja_027,translation_019609,0.054038648674514536,0.19932034087376493
translation_control,zh_ja_029,translation_008482,0.21129852833312543,0.3416920129264538
translation_control,zh_ja_049,translation_009113,0.3012427342843874,0.40489578857579556
translation_control,zh_ja_054,translation_007137,0.12065215761132041,0.25572365594260704
