id,group,reference_difficulty
translation_000006,translation_control,-5.885384798049927
translation_000009,translation_control,-3.4466790556907654
translation_000046,translation_control,-18.883519172668457
translation_000089,translation_control,-17.829026699066162
translation_000090,translation_control,-16.403600692749023
translation_000174,translation_control,-9.093815803527832
translation_000175,translation_control,-6.057967185974121
translation_000176,translation_control,-5.77281641960144
translation_000219,translation_control,-17.672180652618408
translation_000250,translation_control,-4.731783390045166
translation_000255,translation_control,-9.391017436981201
translation_000261,translation_control,-4.6525760889053345
translation_000264,translation_control,-3.430636167526245
translation_000265,translation_control,-4.350132346153259
translation_000343,translation_control,-10.800791263580322
translation_000346,translation_control,-9.862156391143799
translation_000353,translation_control,-27.168192863464355
translation_000416,translation_control,-23.785876274108887
translation_000417,translation_control,-15.73563528060913
translation_000426,translation_control,-17.127198219299316
translation_000435,translation_control,-16.527838230133057
translation_000440,translation_control,-19.36209726333618
translation_000477,translation_control,-23.802753448486328
translation_000479,translation_control,-22.48548126220703
translation_000507,translation_control,-9.380300283432007
translation_000508,translation_control,-6.752567648887634
translation_000555,translation_control,-6.794867157936096
translation_000655,translation_control,-13.612943172454834
translation_000660,translation_control,-12.50280237197876
translation_000662,translation_control,-11.082504987716675
translation_000667,translation_control,-5.9954418540000916
translation_000669,translation_control,-4.575144469738007
translation_000693,translation_control,-14.061177730560303
translation_000741,translation_control,-17.7003231048584
translation_000762,translation_control,-6.259948492050171
translation_000771,translation_control,-17.725902318954468
translation_000772,translation_control,-12.078892469406128
translation_000773,translation_control,-8.890038013458252
translation_000774,translation_control,-10.695851564407349
translation_000785,translation_control,-16.50379705429077
translation_000962,translation_control,-21.25363254547119
translation_000964,translation_control,-18.846139907836914
translation_000971,translation_control,-15.006443977355957
translation_000972,translation_control,-15.938614845275879
translation_001108,translation_control,-8.198813438415527
translation_001110,translation_control,-7.896821737289429
translation_001112,translation_control,-6.747076034545898
translation_001117,translation_control,-8.151306331157684
translation_001119,translation_control,-7.341798812150955
translation_001165,translation_control,-7.841753721237183
translation_001174,translation_control,-11.349552154541016
translation_001175,translation_control,-16.514424800872803
translation_001179,translation_control,-8.304723739624023
translation_001181,translation_control,-17.128698348999023
translation_001260,translation_control,-4.792613744735718
translation_001262,translation_control,-9.702043056488037
translation_001295,translation_control,-16.578879356384277
translation_001303,translation_control,-12.78872013092041
translation_001332,translation_control,-9.302836418151855
translation_001333,translation_control,-5.481502532958984
translation_001334,translation_control,-7.684638977050781
translation_001335,translation_control,-9.263955116271973
translation_001337,translation_control,-4.81622838973999
translation_001472,translation_control,-22.28931951522827
translation_001479,translation_control,-10.62605595588684
translation_001481,translation_control,-13.699036717414856
translation_001483,translation_control,-11.419680714607239
translation_001488,translation_control,-20.219371795654297
translation_001502,translation_control,-11.143128633499146
translation_001508,translation_control,-9.51269268989563
translation_001531,translation_control,-11.29874038696289
translation_001589,translation_control,-16.007852792739868
translation_001591,translation_control,-16.73540425300598
translation_001618,translation_control,-27.3241024017334
translation_001619,translation_control,-18.341201066970825
translation_001625,translation_control,-10.819984436035156
translation_001649,translation_control,-11.132132530212402
translation_001660,translation_control,-10.698643684387207
translation_001661,translation_control,-11.462970733642578
translation_001662,translation_control,-11.667657852172852
translation_001663,translation_control,-8.289994716644287
translation_001704,translation_control,-8.057153224945068
translation_001718,translation_control,-5.304418325424194
translation_001719,translation_control,-4.107065796852112
translation_001742,translation_control,-6.273031711578369
translation_001752,translation_control,-13.953878402709961
translation_001794,translation_control,-8.71462857723236
