pair,model,prompt_mode,batch_size,wrapper,normalization,n_items,semantic_effect,ci_low,ci_high
zh_ja,qwen25_7b,chat,8,bare,mean,27,2.187684452092206,1.4749247762891982,2.9302578690979213
zh_ja,qwen25_7b,chat,8,bare,sum,27,7.4084354153385865,4.945243730368438,9.987967880125396
zh_ja,qwen25_7b,chat,8,definition,mean,27,1.2621520272007696,0.9592558083710847,1.5850233241363807
zh_ja,qwen25_7b,chat,8,definition,sum,27,7.459995057847765,5.3182357240606235,9.703189448957088
zh_ja,qwen25_7b,chat,8,refers,mean,27,2.0240321424272327,1.6365558915668064,2.426509898680227
zh_ja,qwen25_7b,chat,8,refers,sum,27,13.337410538284868,10.758130647518017,16.03584243279916
zh_ja,qwen25_7b,chat,32,bare,mean,27,2.170548849635654,1.4796684900919597,2.895420339151664
zh_ja,qwen25_7b,chat,32,bare,sum,27,7.434338640283655,4.988734414400878,9.99956674752412
zh_ja,qwen25_7b,chat,32,definition,mean,27,1.2364314926995172,0.9291631232809137,1.5648211816946664
zh_ja,qwen25_7b,chat,32,definition,sum,27,7.3544281147144455,5.17359218067593,9.632452636294891
zh_ja,qwen25_7b,chat,32,refers,mean,27,2.0232663772724293,1.6327040522186844,2.4285704718695746
zh_ja,qwen25_7b,chat,32,refers,sum,27,13.318209895381221,10.737692541546291,15.994313870535954
id_tl,gemma3_12b,plain,8,bare,mean,33,0.16942471446412982,-0.16392238302664322,0.5205309829928655
id_tl,gemma3_12b,plain,8,bare,sum,33,0.929254539085157,-0.12524107188889474,2.530398049499047
id_tl,gemma3_12b,plain,8,definition,mean,33,0.043309356227065575,-0.09384712287873932,0.1730629270726984
id_tl,gemma3_12b,plain,8,definition,sum,33,0.8832078991514264,-0.01820997108112682,2.1909470283623897
id_tl,gemma3_12b,plain,8,refers,mean,33,0.20661062905282684,0.06751620010896163,0.3667707925493066
id_tl,gemma3_12b,plain,8,refers,sum,33,1.8853179469253079,0.6405193256609367,3.5662417440703416
id_tl,gemma3_12b,plain,32,bare,mean,33,0.12587074799971146,-0.193992363503485,0.47094887495040866
id_tl,gemma3_12b,plain,32,bare,sum,33,0.7537450429165002,-0.20658582430897338,2.1327713408253404
id_tl,gemma3_12b,plain,32,definition,mean,33,0.05579427516821659,-0.07655074000358582,0.1815408834905334
id_tl,gemma3_12b,plain,32,definition,sum,33,0.8953124248620236,0.041145217057430385,2.1306197953946633
id_tl,gemma3_12b,plain,32,refers,mean,33,0.19519379644682913,0.0673367258274194,0.33669449018709585
id_tl,gemma3_12b,plain,32,refers,sum,33,1.7003020662249941,0.5574711192737927,3.1485915097323325
