model,control,covariate,smd_before,smd_after
qwen3_8b,true_friend,freq_l1,-1.4426592136628997,-1.4426592136628997
qwen3_8b,true_friend,freq_l2,-1.5160019318093867,-1.5160019318093874
qwen3_8b,true_friend,freq_ratio,-0.008376776712807048,-0.008376776712807048
qwen3_8b,true_friend,token_l1,1.3121057966572747,1.3121057966572747
qwen3_8b,true_friend,token_l2,1.3121057966572747,1.3121057966572747
qwen3_8b,true_friend,token_total,1.3121057966572747,1.3121057966572747
qwen3_8b,true_friend,gloss_mean_tokens,0.7810731986127243,0.7810731986127243
qwen3_8b,true_friend,gloss_token_gap,1.509732153206881,1.509732153206881
qwen3_8b,true_friend,baseline_difficulty,-1.3715447104246543,-1.3715447104246543
qwen3_8b,translation_control,freq_l1,-1.3341423493506521,-1.211508486541592
qwen3_8b,translation_control,freq_l2,-1.4957934374583606,-1.2438570057577993
qwen3_8b,translation_control,freq_ratio,0.01660463958175456,-0.1100057372291243
qwen3_8b,translation_control,token_l1,1.2746516552004563,1.1380818350004076
qwen3_8b,translation_control,token_l2,-0.5797236802602991,-0.6689119387618835
qwen3_8b,translation_control,token_total,0.1948244193359233,0.05730129980468334
qwen3_8b,translation_control,gloss_mean_tokens,1.2658160596166275,0.9168293889746602
qwen3_8b,translation_control,gloss_token_gap,1.4790443719967499,1.338790164307403
qwen3_8b,translation_control,baseline_difficulty,-1.5869805984065086,-1.5568906143670147
gemma3_12b,true_friend,freq_l1,-1.4426592136628997,-1.4426592136628997
gemma3_12b,true_friend,freq_l2,-1.5160019318093867,-1.5160019318093874
gemma3_12b,true_friend,freq_ratio,-0.008376776712807048,-0.008376776712807048
gemma3_12b,true_friend,token_l1,1.2366221487370745,1.2366221487370745
gemma3_12b,true_friend,token_l2,1.2366221487370745,1.2366221487370745
gemma3_12b,true_friend,token_total,1.2366221487370745,1.2366221487370745
gemma3_12b,true_friend,gloss_mean_tokens,0.8451542547285166,0.8451542547285166
gemma3_12b,true_friend,gloss_token_gap,1.3887301496588271,1.3887301496588271
gemma3_12b,true_friend,baseline_difficulty,-1.537232199216384,-1.537232199216384
gemma3_12b,translation_control,freq_l1,-1.3341423493506521,-1.2115084865415928
gemma3_12b,translation_control,freq_l2,-1.4957934374583606,-1.2438570057577993
gemma3_12b,translation_control,freq_ratio,0.01660463958175456,-0.1100057372291243
gemma3_12b,translation_control,token_l1,1.1978754778262046,1.0366230096572926
gemma3_12b,translation_control,token_l2,1.1978754778262046,1.0366230096572926
gemma3_12b,translation_control,token_total,1.1978754778262046,1.0366230096572926
gemma3_12b,translation_control,gloss_mean_tokens,1.211783049728424,0.8210679542552407
gemma3_12b,translation_control,gloss_token_gap,1.3532905633444763,1.1841292429264167
gemma3_12b,translation_control,baseline_difficulty,-1.6751140037948649,-1.6190237391578148
