family,test,variants,ci_positive,ci_negative,median_effect
factorial_semantic,full,96,92,0,2.7602364362690985
factorial_semantic,language_only,96,4,2,0.0
factorial_semantic,masked,96,91,0,3.191719900478016
factorial_semantic,shuffled,96,1,3,-0.0903268221652869
factorial_semantic,full_official_chat,48,48,0,3.8027709036162403
paired_contrast,full_minus_language_only,96,92,0,2.755535864669466
paired_contrast,full_minus_shuffled,96,84,0,3.033174905712757
paired_contrast,masked_minus_shuffled,96,90,0,3.358843449390296
lexical_gloss,aggregate_semantic,48,48,0,3.9728852201391156
natural_diagonal,full_minus_language_only,96,36,16,0.20634924703174165
natural_diagonal,full_minus_shuffled,96,94,0,2.30758437845442
natural_diagonal,masked_minus_shuffled,96,82,0,1.575408040875136
