model,normalization,contrast,n_items,estimate,ci_low,ci_high,positive_rate
gemma3_12b,mean,full_minus_unrelated,354,3.5944561943869893,2.9195709600170847,4.26871685734384,0.7033898305084746
gemma3_12b,mean,masked_minus_unrelated,354,3.8148834594117624,3.2148525734606004,4.3902873180409205,0.768361581920904
gemma3_12b,mean,full_minus_surface,354,4.304731610647645,3.8122881036264697,4.8155234550428165,0.8022598870056498
gemma3_12b,mean,full_minus_masked,354,-0.22042726502477394,-0.683677624044842,0.24020787514522843,0.4830508474576271
gemma3_12b,mean,accuracy_full,354,0.6779661016949152,0.6299435028248588,0.7259887005649718,0.6779661016949152
gemma3_12b,mean,accuracy_language_unrelated,354,0.4096045197740113,0.3587570621468927,0.4632768361581921,0.4096045197740113
gemma3_12b,mean,accuracy_masked,354,0.7344632768361582,0.6892655367231638,0.7796610169491526,0.7344632768361582
gemma3_12b,mean,accuracy_surface_only,354,0.384180790960452,0.3333333333333333,0.4350282485875706,0.384180790960452
gemma3_12b,sum,full_minus_unrelated,354,3.5944561943869893,2.9506488292429514,4.283787933494,0.7033898305084746
gemma3_12b,sum,masked_minus_unrelated,354,3.8148834594117624,3.2387777921014913,4.364773112136364,0.768361581920904
gemma3_12b,sum,full_minus_surface,354,4.304731610647645,3.797398017074277,4.803071997671427,0.8022598870056498
gemma3_12b,sum,full_minus_masked,354,-0.22042726502477394,-0.6981241150934736,0.2429400554430035,0.4830508474576271
gemma3_12b,sum,accuracy_full,354,0.6779661016949152,0.6299435028248588,0.7259887005649718,0.6779661016949152
gemma3_12b,sum,accuracy_language_unrelated,354,0.4096045197740113,0.3587570621468927,0.4604519774011299,0.4096045197740113
gemma3_12b,sum,accuracy_masked,354,0.7344632768361582,0.6864406779661016,0.7796610169491526,0.7344632768361582
gemma3_12b,sum,accuracy_surface_only,354,0.384180790960452,0.3333333333333333,0.4350282485875706,0.384180790960452
gemma3_4b,mean,full_minus_unrelated,354,-0.06726695751947269,-0.7089755434898495,0.5929599046774999,0.5056497175141242
gemma3_4b,mean,masked_minus_unrelated,354,3.0332803415760696,2.5036965704102494,3.570449297784447,0.7457627118644068
gemma3_4b,mean,full_minus_surface,354,2.2762182079322892,1.758295798332206,2.7913422330124,0.6751412429378532
gemma3_4b,mean,full_minus_masked,354,-3.100547299095542,-3.585992650468927,-2.6228769210278524,0.268361581920904
gemma3_4b,mean,accuracy_full,354,0.4322033898305085,0.3813559322033898,0.4830508474576271,0.4322033898305085
gemma3_4b,mean,accuracy_language_unrelated,354,0.4209039548022599,0.3700564971751412,0.4745762711864407,0.4209039548022599
gemma3_4b,mean,accuracy_masked,354,0.6977401129943502,0.6497175141242938,0.7429378531073446,0.6977401129943502
gemma3_4b,mean,accuracy_surface_only,354,0.2457627118644068,0.2033898305084746,0.2909604519774011,0.2457627118644068
gemma3_4b,sum,full_minus_unrelated,354,-0.06726695751947269,-0.7200167870815235,0.6139698076764092,0.5056497175141242
gemma3_4b,sum,masked_minus_unrelated,354,3.0332803415760696,2.5240090764031438,3.5602996773499003,0.7457627118644068
gemma3_4b,sum,full_minus_surface,354,2.2762182079322892,1.7537848561945133,2.7840969136493747,0.6751412429378532
gemma3_4b,sum,full_minus_masked,354,-3.100547299095542,-3.5807909495016417,-2.6158920121156246,0.268361581920904
gemma3_4b,sum,accuracy_full,354,0.4322033898305085,0.3813559322033898,0.4858757062146893,0.4322033898305085
gemma3_4b,sum,accuracy_language_unrelated,354,0.4209039548022599,0.3700564971751412,0.4689265536723164,0.4209039548022599
gemma3_4b,sum,accuracy_masked,354,0.6977401129943502,0.6497175141242938,0.7457627118644068,0.6977401129943502
gemma3_4b,sum,accuracy_surface_only,354,0.2457627118644068,0.20056497175141244,0.2909604519774011,0.2457627118644068
