condition,metric,n,effect,ci_low,ci_high
conflict,dmidpoint,50,0.07798737287521362,-0.3197369086146355,0.4610453451573848
conflict,dswitch,50,-0.3835490322113037,-0.7396583998203277,-0.03292791396379472
conflict,d_margin_zh,50,0.2697618889808655,-0.15097825527191164,0.671888973414898
conflict,d_margin_ja,50,-0.11378714323043823,-0.5663443993330002,0.3168912867903707
neutral,dmidpoint,50,0.09991531372070313,-0.1012839749455452,0.3078671655356884
neutral,dswitch,50,-0.05658364295959473,-0.33620090508461,0.22004365241527538
neutral,d_margin_zh,50,0.12820713520050048,-0.12645123660564422,0.37971330273151394
neutral,d_margin_ja,50,0.07162349224090576,-0.17252357912063598,0.3160999011397361
conflict_minus_neutral,dmidpoint,50,-0.0219279408454895,-0.4405416784286499,0.39436112561821923
conflict_minus_neutral,dswitch,50,-0.326965389251709,-0.6945376749634743,0.028308773338794616
conflict_minus_neutral,d_margin_zh,50,0.141554753780365,-0.3416327461004257,0.6235496696233744
conflict_minus_neutral,d_margin_ja,50,-0.18541063547134398,-0.6155594184994698,0.2389159911274909
