pair,model,prompt_mode,wrapper,normalization,contrast,n,estimate,ci_low,ci_high,positive_rate
id_tl,gemma3_12b,chat,bare,mean,full_minus_shuffled,33,4.294586976369222,2.4908555742466088,6.2209419033744116,0.7272727272727273
id_tl,gemma3_12b,chat,bare,mean,full_minus_language_only,33,4.176133704907967,2.667463262875875,5.72286981488719,0.8787878787878788
id_tl,gemma3_12b,chat,bare,mean,masked_minus_shuffled,33,3.442972674514308,1.7270268656990744,5.197564050284298,0.696969696969697
id_tl,gemma3_12b,chat,bare,sum,full_minus_shuffled,33,5.95618013902144,3.0366611957550047,9.274099326856204,0.6666666666666666
id_tl,gemma3_12b,chat,bare,sum,full_minus_language_only,33,5.316182714520079,3.0116031711751767,7.715867681936784,0.8787878787878788
id_tl,gemma3_12b,chat,bare,sum,masked_minus_shuffled,33,5.39087538285689,2.949457753065861,8.037932661085412,0.696969696969697
id_tl,gemma3_12b,chat,definition,mean,full_minus_shuffled,33,3.4261831370267,2.656847732717341,4.207735275138506,0.9393939393939394
id_tl,gemma3_12b,chat,definition,mean,full_minus_language_only,33,3.1666140989823774,2.4338905681263316,3.8690007614366926,0.9696969696969697
id_tl,gemma3_12b,chat,definition,mean,masked_minus_shuffled,33,3.0906459201465952,2.429571625319394,3.7643287918784396,0.9393939393939394
id_tl,gemma3_12b,chat,definition,sum,full_minus_shuffled,33,14.547780008027047,11.139416742324828,18.26997101090171,0.8787878787878788
id_tl,gemma3_12b,chat,definition,sum,full_minus_language_only,33,13.032002766927084,9.976122480450254,15.999245603156812,0.9393939393939394
id_tl,gemma3_12b,chat,definition,sum,masked_minus_shuffled,33,13.210636138916016,10.429195523984506,15.998086183721368,0.9393939393939394
id_tl,gemma3_12b,chat,refers,mean,full_minus_shuffled,33,2.6294406255086265,1.9339489857355754,3.3914015014966323,0.9393939393939394
id_tl,gemma3_12b,chat,refers,mean,full_minus_language_only,33,2.6758054675477925,2.076198509245208,3.2744287364410627,0.9696969696969697
id_tl,gemma3_12b,chat,refers,mean,masked_minus_shuffled,33,2.655040004036643,1.981356512777733,3.3794503034967356,0.9696969696969697
id_tl,gemma3_12b,chat,refers,sum,full_minus_shuffled,33,14.213124361905185,10.763960526206276,18.049068442257965,0.9696969696969697
id_tl,gemma3_12b,chat,refers,sum,full_minus_language_only,33,13.979554956609553,11.077337658044064,16.992536148880465,0.9696969696969697
id_tl,gemma3_12b,chat,refers,sum,masked_minus_shuffled,33,13.939214879816229,10.608493851170396,17.62239846027259,0.9393939393939394
id_tl,gemma3_12b,plain,bare,mean,full_minus_shuffled,33,-0.21512804609356503,-0.8183897087068268,0.3803949229645005,0.5454545454545454
id_tl,gemma3_12b,plain,bare,mean,full_minus_language_only,33,0.1368106206258138,-0.18246982025377678,0.47332648490414436,0.5151515151515151
id_tl,gemma3_12b,plain,bare,mean,masked_minus_shuffled,33,-0.22685141996903854,-0.7391110389521627,0.3362934867540995,0.36363636363636365
id_tl,gemma3_12b,plain,bare,sum,full_minus_shuffled,33,0.9252500317313455,-0.4667631976532214,2.902911880160821,0.5151515151515151
id_tl,gemma3_12b,plain,bare,sum,full_minus_language_only,33,0.7513253110827822,-0.2203602463910074,2.094375600778694,0.5454545454545454
id_tl,gemma3_12b,plain,bare,sum,masked_minus_shuffled,33,0.7571450291257916,-0.4653345868442998,2.4561892437212385,0.42424242424242425
id_tl,gemma3_12b,plain,definition,mean,full_minus_shuffled,33,0.008097641395800041,-0.1778786493070198,0.20073979117653587,0.5151515151515151
id_tl,gemma3_12b,plain,definition,mean,full_minus_language_only,33,0.057047583840110085,-0.0712971087658044,0.18215156865842413,0.6060606060606061
id_tl,gemma3_12b,plain,definition,mean,masked_minus_shuffled,33,-0.003967906489516749,-0.19013249025200352,0.19746416156942184,0.5151515151515151
id_tl,gemma3_12b,plain,definition,sum,full_minus_shuffled,33,0.9920942422115442,-0.2977217493635235,2.830693400267398,0.6060606060606061
id_tl,gemma3_12b,plain,definition,sum,full_minus_language_only,33,0.8894832784479315,0.01067579370556456,2.139150187463471,0.6666666666666666
id_tl,gemma3_12b,plain,definition,sum,masked_minus_shuffled,33,0.6079483610210996,-0.6249980543598984,2.3096640290635992,0.5454545454545454
id_tl,gemma3_12b,plain,refers,mean,full_minus_shuffled,33,0.05519481861230099,-0.11780903014269742,0.2231062269572054,0.5151515151515151
