model,prompt_mode,variant,normalization,n,semantic_effect,ci_low,ci_high,positive_rate
gemma3_12b,chat,0,mean,27,4.575819448188499,2.6152237569844283,6.628420742132044,0.8888888888888888
gemma3_12b,chat,0,sum,27,14.51494167469166,9.596698156992595,19.962126647101503,0.8518518518518519
gemma3_12b,chat,1,mean,27,3.8675804138183594,2.2151090950877577,5.526839847034877,0.7407407407407407
gemma3_12b,chat,1,sum,27,12.470939424302843,6.942075349666454,17.829508546546652,0.7407407407407407
gemma3_12b,chat,2,mean,27,2.567080427099157,1.3643649569264165,3.794628438684675,0.7777777777777778
gemma3_12b,chat,2,sum,27,9.924053404066298,5.709316868252224,14.175727008890213,0.8148148148148148
gemma3_12b,plain,0,mean,27,0.826751603020562,0.28546807169914246,1.4236323623745526,0.7407407407407407
gemma3_12b,plain,0,sum,27,2.1127823017261647,0.6320369512946518,3.8808714844562378,0.7037037037037037
gemma3_12b,plain,1,mean,27,0.5792213016086154,0.1434025976392958,1.0161812283374643,0.6296296296296297
gemma3_12b,plain,1,sum,27,2.2198539486637823,0.5649010269730179,4.038419390166247,0.5555555555555556
gemma3_12b,plain,2,mean,27,0.5394197216740361,0.053396992550955875,1.0630297824188513,0.6296296296296297
gemma3_12b,plain,2,sum,27,2.165698757878056,0.4670059080477114,3.9426809107815757,0.6296296296296297
gemma3_4b,chat,0,mean,27,6.403356132683931,4.2012401159162875,8.862143975165155,0.9259259259259259
gemma3_4b,chat,0,sum,27,18.293099606478656,10.894000249438815,26.55245131894394,0.8888888888888888
gemma3_4b,chat,1,mean,27,4.078190026459871,1.9588803188668358,6.184604646651831,0.7777777777777778
gemma3_4b,chat,1,sum,27,12.689531944416187,4.370504912182136,21.010711243859046,0.7407407407407407
gemma3_4b,chat,2,mean,27,4.488938985047517,2.9250929366659237,6.224090968017225,0.8148148148148148
gemma3_4b,chat,2,sum,27,16.906907576101798,9.866820500515125,24.916047394717182,0.8148148148148148
gemma3_4b,plain,0,mean,27,1.3867656257417467,0.7163203583823311,2.052110054537102,0.7407407407407407
gemma3_4b,plain,0,sum,27,3.839694932655052,1.842784586659184,6.114146872803016,0.6666666666666666
gemma3_4b,plain,1,mean,27,1.3137056518484045,0.7609319950695391,1.9035315388882599,0.7777777777777778
gemma3_4b,plain,1,sum,27,4.880842650378192,2.4995678685329583,7.5679290215174335,0.8148148148148148
gemma3_4b,plain,2,mean,27,1.7661127426006176,1.349401334921519,2.2385475650981617,1.0
gemma3_4b,plain,2,sum,27,5.916363981035021,4.107752656936645,7.909556581355908,0.9259259259259259
qwen25_7b,chat,0,mean,27,2.259666023431001,1.3457450681262546,3.21817924854932,0.8148148148148148
qwen25_7b,chat,0,sum,27,7.089618523915608,4.108713827309785,9.99030422060577,0.7777777777777778
qwen25_7b,chat,1,mean,27,1.254508128872624,0.34157216780715516,2.0907466130124197,0.7407407407407407
qwen25_7b,chat,1,sum,27,5.4292328092787,1.9247774177127415,9.244557978488778,0.7037037037037037
qwen25_7b,chat,2,mean,27,2.1618888907962375,0.9758515238761902,3.4666556064729326,0.7407407407407407
qwen25_7b,chat,2,sum,27,8.70569101969401,4.0041028614397405,13.323639657762312,0.7777777777777778
qwen25_7b,plain,0,mean,27,2.031544535248368,1.312564018589479,2.785946744349267,0.8518518518518519
qwen25_7b,plain,0,sum,27,6.1596409303170665,3.762880070341958,8.694447321582723,0.7777777777777778
qwen25_7b,plain,1,mean,27,1.6688540246751573,1.0102350705199772,2.3063885525420855,0.8888888888888888
qwen25_7b,plain,1,sum,27,6.813616028538457,4.183549891136311,9.55440320836173,0.8888888888888888
qwen25_7b,plain,2,mean,27,2.126957341476723,1.328227139623077,2.965698098474078,0.8518518518518519
qwen25_7b,plain,2,sum,27,7.72190378330372,5.1471953197761815,10.44508429412488,0.8518518518518519
qwen3_8b,chat,0,mean,27,1.2248490121629503,0.6255318297280206,1.8844615424120865,0.8148148148148148
qwen3_8b,chat,0,sum,27,4.479859034220378,2.4155409618660255,6.984188743873879,0.7777777777777778
qwen3_8b,chat,1,mean,27,1.1118396741372567,0.7111232585377164,1.525873167868013,0.8518518518518519
qwen3_8b,chat,1,sum,27,5.086472052114981,3.195789587939227,7.036664307558977,0.8518518518518519
qwen3_8b,chat,2,mean,27,1.2213531070285373,0.7062655810956602,1.8247477337166114,0.8148148148148148
qwen3_8b,chat,2,sum,27,5.022920891090676,2.8027967717912463,7.559450695249768,0.7777777777777778
qwen3_8b,plain,0,mean,27,1.873284920498177,1.2983636792611193,2.5229961293715006,0.9629629629629629
qwen3_8b,plain,0,sum,27,6.2955596976810035,4.341929206583235,8.49719014653453,1.0
qwen3_8b,plain,1,mean,27,1.7176015730257388,1.1533653928173913,2.288443800144725,0.8888888888888888
qwen3_8b,plain,1,sum,27,7.018004134849265,4.677246317157039,9.612508169368455,0.8888888888888888
qwen3_8b,plain,2,mean,27,1.7646655241648357,1.317957901402756,2.237254014500865,0.9259259259259259
qwen3_8b,plain,2,sum,27,6.496577739715576,4.827392586513802,8.196478792031604,0.9259259259259259
