language,covariate,target_mean,control_mean,smd,target_sd,control_sd,variance_ratio
zh,frequency,3.9,3.9604347826086945,0.08130505331493469,0.8490904224254007,0.7642850388129808,0.8102197624471289
zh,char_length,2.0,2.0,0.0,0.0,0.0,
zh,gloss_tokens,1.5217391304347827,1.4782608695652173,-0.06287958207879299,0.6653478391304604,0.5931093121225481,0.7946428571428573
zh,tok1,1.565217391304348,1.565217391304348,0.0,0.5068698018697018,0.5068698018697018,1.0
zh,tok2,1.5217391304347827,1.565217391304348,0.08727420177544674,0.5107539184552491,0.5068698018697018,0.9848484848484848
zh,reference_difficulty,-5.8091453816539245,-5.360174093516949,0.09446334900312679,4.083778639554694,3.537870404126782,0.7505151337766109
ja,frequency,3.537083333333334,3.5845833333333332,0.06226828819951893,0.7520087832897483,0.6869528125473151,0.8344647310481137
ja,char_length,2.0,2.0,0.0,0.0,0.0,
ja,gloss_tokens,1.375,1.3333333333333333,-0.08339500178140756,0.49453535504684026,0.4815434123430768,0.9481481481481481
ja,tok1,1.5833333333333333,1.5833333333333333,0.0,0.5036101551853348,0.5036101551853348,1.0
ja,tok2,1.5416666666666667,1.5833333333333333,0.09668492104680627,0.5089773777040515,0.5036101551853348,0.9790209790209792
ja,reference_difficulty,-7.466407264272372,-7.055321683486302,0.09541590779101417,4.803793690182892,4.275864006583082,0.7922806941104424
