group,available_controls,caliper_sd_each_covariate,matched_pairs,max_abs_smd,mean_abs_smd,excluded_covariate
true_friend,1733,1.0,14,0.06020122402894841,0.011710948835941308,
true_friend,1733,1.5,23,0.27524158338783533,0.03136576431022388,
true_friend,1733,2.0,23,0.27524158338783533,0.03136576431022388,
true_friend,1733,2.5,24,0.35169757877334556,0.04309705529969995,
true_friend,1733,3.0,25,0.3798333850752129,0.10043361995788784,
true_friend,1733,4.0,26,0.3652244087261665,0.17007511803002678,
true_friend,1733,1.0_except,15,,,freq_l1
true_friend,1733,1.0_except,14,,,freq_l2
true_friend,1733,1.0_except,14,,,freq_ratio
true_friend,1733,1.0_except,14,,,char_l1
true_friend,1733,1.0_except,14,,,char_l2
true_friend,1733,1.0_except,24,,,gloss_tokens
true_friend,1733,1.0_except,14,,,tok1_l1
true_friend,1733,1.0_except,14,,,tok1_l2
true_friend,1733,1.0_except,14,,,tok2_l1
true_friend,1733,1.0_except,14,,,tok2_l2
translation_control,9240,1.0,11,0.021310304661883762,0.004858952127763686,
translation_control,9240,1.5,13,0.17632184000371431,0.042292726146063095,
translation_control,9240,2.0,15,0.09142298444664256,0.01743415957462191,
translation_control,9240,2.5,16,0.13481981063981363,0.026268895878113284,
translation_control,9240,3.0,25,0.5388682721417206,0.11100331054241168,
translation_control,9240,4.0,26,0.5181425693670392,0.15363219472648948,
translation_control,9240,1.0_except,12,,,freq_l1
translation_control,9240,1.0_except,11,,,freq_l2
translation_control,9240,1.0_except,11,,,freq_ratio
translation_control,9240,1.0_except,11,,,char_l1
translation_control,9240,1.0_except,12,,,char_l2
translation_control,9240,1.0_except,21,,,gloss_tokens
translation_control,9240,1.0_except,13,,,tok1_l1
translation_control,9240,1.0_except,13,,,tok1_l2
translation_control,9240,1.0_except,13,,,tok2_l1
translation_control,9240,1.0_except,12,,,tok2_l2
