pair,model,contrast,variants,positive_ci,negative_ci,median
id_ms,gemma3_12b,full_minus_masked,6,6,0,3.221572728951772
id_ms,gemma3_12b,full_minus_surface,6,4,0,1.670023043950399
id_ms,gemma3_12b,full_minus_unrelated,6,6,0,9.680138556162516
id_ms,gemma3_12b,masked_minus_unrelated,6,6,0,4.708640197912852
id_ms,gemma3_4b,full_minus_masked,6,0,0,1.5375173250834147
id_ms,gemma3_4b,full_minus_surface,6,6,0,4.396939478131632
id_ms,gemma3_4b,full_minus_unrelated,6,6,0,10.838492346710215
id_ms,gemma3_4b,masked_minus_unrelated,6,6,0,8.984428977966308
id_ms,qwen25_7b,full_minus_masked,6,0,0,-0.01966513395309448
id_ms,qwen25_7b,full_minus_surface,6,6,0,2.2708564043045043
id_ms,qwen25_7b,full_minus_unrelated,6,6,0,2.776008967558543
id_ms,qwen25_7b,masked_minus_unrelated,6,6,0,2.42414999405543
id_ms,qwen3_8b,full_minus_masked,6,6,0,2.3329819997151695
id_ms,qwen3_8b,full_minus_surface,6,6,0,3.0544615206619103
id_ms,qwen3_8b,full_minus_unrelated,6,6,0,6.388405100504557
id_ms,qwen3_8b,masked_minus_unrelated,6,6,0,4.055423100789389
id_tl,gemma3_12b,full_minus_masked,6,6,0,6.477800311464252
id_tl,gemma3_12b,full_minus_surface,6,4,0,1.6926793546387644
id_tl,gemma3_12b,full_minus_unrelated,6,6,0,13.847937089024168
id_tl,gemma3_12b,masked_minus_unrelated,6,6,0,6.235324505603675
id_tl,gemma3_4b,full_minus_masked,6,6,0,9.936134974161783
id_tl,gemma3_4b,full_minus_surface,6,6,0,4.662857807043827
id_tl,gemma3_4b,full_minus_unrelated,6,6,0,18.741285834002845
id_tl,gemma3_4b,masked_minus_unrelated,6,6,0,8.154628217220306
id_tl,qwen25_7b,full_minus_masked,6,6,0,2.9391445969090317
id_tl,qwen25_7b,full_minus_surface,6,5,0,1.8182383811835088
id_tl,qwen25_7b,full_minus_unrelated,6,6,0,5.7408254652312305
id_tl,qwen25_7b,masked_minus_unrelated,6,6,0,2.728536526362101
id_tl,qwen3_8b,full_minus_masked,6,6,0,4.420707644838275
id_tl,qwen3_8b,full_minus_surface,6,6,0,1.8357048034667969
id_tl,qwen3_8b,full_minus_unrelated,6,6,0,7.930532686638109
id_tl,qwen3_8b,masked_minus_unrelated,6,6,0,3.509825041799834
