pair,model,wrapper,normalization,contrast,n_items,estimate,ci_low,ci_high,positive_rate
id_ms,gemma3_12b,bare,mean,full_minus_unrelated,30,7.620223967234294,5.686849380930265,9.683209792176884,0.9666666666666667
id_ms,gemma3_12b,bare,mean,masked_minus_unrelated,30,3.7810021162033083,2.193988736271858,5.5020871492226915,0.7666666666666667
id_ms,gemma3_12b,bare,mean,full_minus_masked,30,3.8392218510309855,2.3007619913419086,5.32310685634613,0.7333333333333333
id_ms,gemma3_12b,bare,mean,full_minus_surface,30,0.607378363609314,-1.4439843628803888,2.5109471698602026,0.6666666666666666
id_ms,gemma3_12b,bare,sum,full_minus_unrelated,30,11.740053145090739,8.654402824640274,15.070058721701301,0.9333333333333333
id_ms,gemma3_12b,bare,sum,masked_minus_unrelated,30,5.636278279622396,3.1691140095392862,8.279260159333546,0.7666666666666667
id_ms,gemma3_12b,bare,sum,full_minus_masked,30,6.103774865468343,3.2691928589344026,8.950467937390009,0.8333333333333334
id_ms,gemma3_12b,bare,sum,full_minus_surface,30,2.2864237944285075,-0.7359047440687815,5.380589193900424,0.6666666666666666
id_ms,gemma3_12b,definition,mean,full_minus_unrelated,30,2.6998758792877195,2.257405906120936,3.133303161064784,1.0
id_ms,gemma3_12b,definition,mean,masked_minus_unrelated,30,1.7176688194274903,1.3132047669092815,2.100160539150238,0.9333333333333333
id_ms,gemma3_12b,definition,mean,full_minus_masked,30,0.9822070598602295,0.5269376718997955,1.4250096948941546,0.8
id_ms,gemma3_12b,definition,mean,full_minus_surface,30,1.0309168815612793,0.5374234525362651,1.516088242928187,0.7333333333333333
id_ms,gemma3_12b,definition,sum,full_minus_unrelated,30,11.844280560811361,9.851310962041218,13.845821107228597,1.0
id_ms,gemma3_12b,definition,sum,masked_minus_unrelated,30,7.117802492777506,5.236582781473795,8.94806560198466,0.9333333333333333
id_ms,gemma3_12b,definition,sum,full_minus_masked,30,4.726478068033854,2.716310240427653,6.8243890031178776,0.7666666666666667
id_ms,gemma3_12b,definition,sum,full_minus_surface,30,4.647926902770996,2.726190481185913,6.640068672498067,0.8
id_ms,gemma3_12b,refers,mean,full_minus_unrelated,30,2.2560314337412515,1.9011970337231954,2.621268229881922,1.0
id_ms,gemma3_12b,refers,mean,masked_minus_unrelated,30,1.8462087154388427,1.4570217863718669,2.2191886977354685,0.9666666666666667
id_ms,gemma3_12b,refers,mean,full_minus_masked,30,0.40982271830240885,0.0594515327612559,0.7982505019505812,0.6666666666666666
id_ms,gemma3_12b,refers,mean,full_minus_surface,30,1.05362229347229,0.6832372685273488,1.4566684254010513,0.8666666666666667
id_ms,gemma3_12b,refers,sum,full_minus_unrelated,30,12.042078844706218,10.166609055201212,13.976265433629353,1.0
id_ms,gemma3_12b,refers,sum,masked_minus_unrelated,30,9.438155237833659,7.459441617329916,11.472862532933553,0.9666666666666667
id_ms,gemma3_12b,refers,sum,full_minus_masked,30,2.6039236068725584,0.6381285508473714,4.544374794960021,0.6666666666666666
id_ms,gemma3_12b,refers,sum,full_minus_surface,30,5.7425734837849935,3.7040113385518394,7.905110578536987,0.8666666666666667
id_ms,gemma3_4b,bare,mean,full_minus_unrelated,30,10.380384097310404,7.489320895201526,13.273289501604932,0.9333333333333333
id_ms,gemma3_4b,bare,mean,masked_minus_unrelated,30,7.869013277689616,5.4449329002698255,10.446463140646616,0.8666666666666667
id_ms,gemma3_4b,bare,mean,full_minus_masked,30,2.511370819620788,-0.16492662251771736,5.200200099657909,0.6333333333333333
id_ms,gemma3_4b,bare,mean,full_minus_surface,30,3.3769489942118525,1.193435302558355,5.609235353046095,0.6666666666666666
id_ms,gemma3_4b,bare,sum,full_minus_unrelated,30,15.628702737701436,9.988034737676692,21.035185946115913,0.9333333333333333
id_ms,gemma3_4b,bare,sum,masked_minus_unrelated,30,13.060337781906128,8.612322400013607,17.876035559177396,0.8666666666666667
id_ms,gemma3_4b,bare,sum,full_minus_masked,30,2.568364955795308,-2.517577933170833,7.49288312097701,0.5666666666666667
id_ms,gemma3_4b,bare,sum,full_minus_surface,30,5.4169299620514115,1.463376305064497,8.786253533829003,0.7
id_ms,gemma3_4b,definition,mean,full_minus_unrelated,30,2.4746036688486734,1.8122830327351889,3.1113978405793508,0.9333333333333333
id_ms,gemma3_4b,definition,mean,masked_minus_unrelated,30,2.0978395462036135,1.581817694505056,2.6513651522000625,0.9333333333333333
id_ms,gemma3_4b,definition,mean,full_minus_masked,30,0.3767641226450602,-0.2211505647500356,0.9653130487600962,0.6
id_ms,gemma3_4b,definition,mean,full_minus_surface,30,1.416184631983439,0.7851983749866486,2.017562897205352,0.8
id_ms,gemma3_4b,definition,sum,full_minus_unrelated,30,11.296600596110027,8.0791876633962,14.412575381596882,0.9333333333333333
