experiment,dose,n,paired_delta,ci_low,ci_high,treated_cir,heldout_cir
qwen25_fine,1,50,-0.01559755101799965,-0.02781682163476944,-0.0035980468280613445,0.0,0.0
qwen25_fine,4,50,-0.06724036112427711,-0.1510280701480806,0.011298544861376261,0.07692307692307693,0.02564102564102564
qwen25_fine,8,50,-0.2365905035287142,-0.4350968700349331,-0.048908207427710314,0.07692307692307693,0.07692307692307693
qwen25_fine,16,50,-0.37037180602550507,-0.5773700821399689,-0.16559400814771655,0.07692307692307693,0.07692307692307693
qwen25_fine,32,50,-0.4622821268439293,-0.694893151562661,-0.23795936546474708,0.1794871794871795,0.10256410256410256
qwen3_8b,8,50,-0.08504877941682935,-0.24683663138514386,0.08303033519443118,0.02631578947368421,0.02631578947368421
qwen3_8b,32,50,-0.3922368961665779,-0.6424681488785428,-0.15733717594482005,0.07894736842105263,0.05263157894736842
gloss,32,50,-0.19803324222564697,-0.46860339617729185,0.07460875260829916,0.10416666666666667,0.08333333333333333
gloss,128,50,-0.1747359299659729,-0.4650537978410721,0.11558976399898528,0.125,0.08333333333333333
en_de,8,49,-0.39729756238509195,-0.7593740280793637,-0.054653744308316,0.25,0.17857142857142858
en_de,32,49,0.009067467280796595,-0.7528310960652876,0.7343043373555551,0.07142857142857142,0.07142857142857142
attention_only,32,50,-0.18723871245980261,-0.5420120264291763,0.16726591335982086,0.2564102564102564,0.1282051282051282
mlp_only,32,50,-0.5587738683819771,-0.9516890966892243,-0.17576182970404644,0.2564102564102564,0.1282051282051282
early_half,32,50,-0.07848605023697018,-0.44292344031669195,0.2962941346014849,0.1282051282051282,0.07692307692307693
late_half,32,50,-0.4961211532354355,-0.8291505498588085,-0.16280974018573763,0.2564102564102564,0.07692307692307693
collision_replay,32,50,-0.46639146462082864,-0.7986242105886341,-0.15724190593883394,0.20512820512820512,0.05128205128205128
random_replay,32,50,-0.3261812783032656,-0.6486782384719699,-0.012115702234208721,0.15384615384615385,0.10256410256410256
neutral_surface,32,50,-0.9416339253634214,-1.1782815933618693,-0.7171881208717823,0.23076923076923078,0.02564102564102564
