model,component,layer,control,estimate,ci_low,ci_high,n_false,n_control
gemma3_12b,attention,0,true_friend,5.779535305500031,2.5412151795625686,9.942887901812787,20,20
gemma3_12b,attention,0,translation_control,5.273099112510681,2.2267256973683835,9.387323178201912,20,16
gemma3_12b,attention,4,true_friend,-0.13414700627326964,-0.4019536077976227,0.13283129677176456,20,20
gemma3_12b,attention,4,translation_control,0.12502791434526578,-0.1990124529600117,0.45868137586861846,20,16
gemma3_12b,attention,8,true_friend,0.16903864145278932,-0.18257413625717162,0.5177519653737542,20,20
gemma3_12b,attention,8,translation_control,0.3454811841249413,0.013408884331583843,0.7060549707710635,20,16
gemma3_12b,attention,12,true_friend,-0.36255524754524227,-0.8212597903609276,0.02778434723615599,20,20
gemma3_12b,attention,12,translation_control,-0.09115296006202697,-0.5688076692819596,0.32803998023271524,20,16
gemma3_12b,attention,16,true_friend,-0.11102133393287658,-0.4104576300084591,0.17991565302014334,20,20
gemma3_12b,attention,16,translation_control,-0.016904996335509986,-0.32147885415703403,0.25373344011604093,20,16
gemma3_12b,attention,20,true_friend,-0.14036343693733216,-0.3508622832596302,0.09031472444534289,20,20
gemma3_12b,attention,20,translation_control,-0.105641148984434,-0.47743935111910274,0.2537718381732699,20,16
gemma3_12b,attention,24,true_friend,-0.10469653606414794,-0.37437276661396024,0.1573048537969586,20,20
gemma3_12b,attention,24,translation_control,-0.16472249031066893,-0.4857720823585987,0.14601764380931814,20,16
gemma3_12b,attention,28,true_friend,0.016706371307373045,-0.15983389422297475,0.18836512982845274,20,20
gemma3_12b,attention,28,translation_control,-0.15528704375028476,-0.3406330703943954,0.0343546330183757,20,16
gemma3_12b,attention,32,true_friend,0.094816654920578,-0.07909389689564705,0.2797567112743853,20,20
gemma3_12b,attention,32,translation_control,0.05725870430469513,-0.16160223700106144,0.27054857946932304,20,16
gemma3_12b,attention,36,true_friend,0.04048647284507752,-0.07475564137101173,0.15640160277485848,20,20
gemma3_12b,attention,36,translation_control,-0.01522330641746521,-0.10471918478608132,0.07993869870901106,20,16
gemma3_12b,attention,40,true_friend,0.04502078890800476,-0.04742149293422698,0.13646583989262556,20,20
gemma3_12b,attention,40,translation_control,-0.045340354740617886,-0.24673464126884928,0.12328392706811431,20,16
gemma3_12b,attention,44,true_friend,0.07367044687271118,-0.024780238568782812,0.16820259362459183,20,20
gemma3_12b,attention,44,translation_control,0.031387507915496826,-0.10747485756874085,0.17277911931276319,20,16
gemma3_12b,attention,47,true_friend,0.0,0.0,0.0,20,20
gemma3_12b,attention,47,translation_control,0.0,0.0,0.0,20,16
gemma3_12b,mlp,0,true_friend,2.478163844347,0.22875033065676695,5.467808391451828,20,20
