language,model,prompt_mode,calibration,n,accuracy,ci_low,ci_high
de,gemma3_12b,chat,raw,200,0.575,0.505,0.64
de,gemma3_12b,chat,content_free,200,0.7,0.635,0.765
de,gemma3_4b,chat,raw,200,0.61,0.54,0.68
de,gemma3_4b,chat,content_free,200,0.5,0.43,0.57
de,qwen25_7b,chat,raw,200,0.62,0.55,0.685
de,qwen25_7b,chat,content_free,200,0.585,0.52,0.65
de,qwen3_8b,chat,raw,200,0.63,0.56,0.695
de,qwen3_8b,chat,content_free,200,0.49,0.42,0.56
ja,gemma3_12b,chat,raw,200,0.505,0.435,0.575
ja,gemma3_12b,chat,content_free,200,0.565,0.495,0.635
ja,gemma3_4b,chat,raw,200,0.58,0.51,0.65
ja,gemma3_4b,chat,content_free,200,0.5,0.43,0.57
ja,qwen25_7b,chat,raw,200,0.515,0.445,0.585
ja,qwen25_7b,chat,content_free,200,0.605,0.535,0.67
ja,qwen3_8b,chat,raw,200,0.5,0.43,0.57
ja,qwen3_8b,chat,content_free,200,0.545,0.475,0.615
zh,gemma3_12b,chat,raw,200,0.5,0.43,0.57
zh,gemma3_12b,chat,content_free,200,0.515,0.445,0.585
zh,gemma3_4b,chat,raw,200,0.575,0.51,0.64
zh,gemma3_4b,chat,content_free,200,0.5,0.43,0.57
zh,qwen25_7b,chat,raw,200,0.62,0.55,0.685
zh,qwen25_7b,chat,content_free,200,0.545,0.475,0.615
zh,qwen3_8b,chat,raw,200,0.55,0.48,0.62
zh,qwen3_8b,chat,content_free,200,0.545,0.475,0.615
